Activo - Corriente,Pasivo - Corriente,Activo - Todo,Pasivo - Todo,Patrimonio,Resultado,ROA,ROE,APL,Endeudamiento,Razon Corriente,XOF_t_i,Annual Sales,Equity / Sales,Net Margin,end_node
460318.95,472592.7,545453.65,475522.27,69931.38,14640.29,0.02684057572994516,0.20935222499541695,6.799841072777342,0.871792259525626,0.974028904805343,1,1815959.31,0.03850933201801752,0.008062014341059217,2
1569983.0,708259.0,2574999.0,712718.0,1862281.0,257103.0,0.09984586401781127,0.13805811260491838,0.3827123833621242,0.2767837968092415,2.216679209159361,0,3220178.0,0.578316167615579,0.07984123858991646,6
1907855.0,1225284.0,3388368.0,1245168.0,2143200.0,278009.0,0.08204805381233679,0.12971677864874953,0.5809854423292273,0.367483106911646,1.557071666650344,0,3375718.0,0.6348871558583982,0.08235551666341798,6
101670.0,95662.0,559896.0,284037.0,275859.0,10818.0,0.019321445411290668,0.0392156862745098,1.0296455798070754,0.5073031420120879,1.0628044573602893,0,686140.0,0.4020447722039234,0.01576646165505582,2
229523.0,106726.0,581650.0,246388.0,335262.0,48585.0,0.08352961402905527,0.1449165130554611,0.7349118003233293,0.423601822401788,2.15058186383824,1,1046937.0,0.3202313033162454,0.046406803847796,4
57249.84,35898.23,59868.53,35898.23,23970.3,15262.0,0.25492525037778613,0.6367045885950531,1.4976128792714318,0.599617695640765,1.5947816925792717,0,236650.0,0.10129009085146841,0.06449186562433974,0
94612.59,78430.13,102547.96,78430.13,24117.83,147.0,0.0014334756147270018,0.0060950757178402865,3.251956332721476,0.7648141415977461,1.206329633777223,0,150878.0,0.1598498787099511,0.0009742971142247379,2
159551.3,45894.29,170590.92,146052.62,24538.3,2365.0,0.013863574919462301,0.09637994482095337,5.952026831524596,0.8561570568937665,3.476495659917606,1,79652.0,0.30806884949530455,0.02969165871541204,4
20677.58,29736.71,40576.37,29736.71,10839.66,13681.45,0.3371777712003316,1.2621659719954317,2.7433249751375963,0.7328578184790803,0.6953553368883109,0,192105.11,0.0564256723832073,0.07121856362904663,0
34475.69,25117.79,35537.8,25117.79,10420.01,-419.65,-0.011808553146227396,-0.04027347382584086,2.4105341549576247,0.7067907974044538,1.3725606432731543,1,158413.41,0.06577732276579362,-0.0026490812867420756,4
678185.3,42602.73,678185.3,42602.73,635582.57,131487.19,0.19388092015559757,0.20687664546873905,0.06702941838068342,0.06281871635967338,15.918822573107404,0,2371960.37,0.2679566564596524,0.0554339742193922,5
1500127.0,751356.0,1500127.0,751356.0,748771.0,63189.0,0.04212243363395232,0.08439028755120057,1.0034523238747226,0.5008615937183986,1.9965595536603156,1,4305968.0,0.17389144554720332,0.014674749092422425,5
172886.87,257363.43,413361.06,382988.43,30372.63,654.89,0.0015843050141201012,0.02156184696550809,12.60965645714579,0.9265227595458556,0.671761601871719,0,373725.69,0.08126984794649787,0.001752328024332499,2
166946.37,234635.16,376106.53,360260.16,15846.37,-14839.68,-0.039456055176707513,-0.936471885990293,22.734554349040188,0.9578673361507442,0.7115147192773665,0,354580.11,0.044690521417007856,-0.04185141687727493,2
69446.64,21494.52,80984.13,21494.52,59489.61,18070.19,0.22313248287040927,0.3037537143040608,0.36131553056071475,0.26541644640746276,3.2308997828283674,1,518423.66,0.1147509548464667,0.03485602875455183,0
398343.86,373078.17,398343.86,373078.17,25265.69,5954.07,0.01494706106427748,0.23565831766320255,14.766197558823844,0.9365731657066334,1.0677222416953531,0,254590.2,0.09924062277338247,0.02338687820662382,2
106355.8,61754.64,106355.81,61754.64,44601.17,13047.45,0.12267736008028148,0.29253604782116704,1.3845968614724682,0.5806419038132472,1.722231722183143,0,509595.59,0.0875226765600542,0.025603537895608555,18
240464.66,216373.76,240464.66,216373.76,24090.9,12073.51,0.0502090826984722,0.5011647551565114,8.98155569115309,0.8998152160903811,1.1113392862424722,1,699352.32,0.03444744417234507,0.01726384492440091,17
19111954.0,19098547.0,40347771.0,30332582.0,10018889.0,64115.0,0.0015890592816143424,0.00639941215038913,3.027539480674953,0.7517783820077694,1.0007019905755135,0,27952227.0,0.35842900817884743,0.0022937349499916413,7
142459.47,24412.69,142617.99,25029.72,117588.27,1976.28,0.01385715785224571,0.01680677843121597,0.2128589866999489,0.17550184236925512,5.835467947202869,1,233172.91,0.5042964467870646,0.00847559864479969,4
405583.14,281563.41,406514.36,282180.44,124333.92,8919.02,0.021940233550421198,0.07173440682960854,2.269537065991324,0.6941463027283956,1.44046820572318,1,398584.76,0.31193846949893417,0.022376721076841976,4
491791.33,342655.61,492697.8,343272.64,149425.16,37845.01,0.07681181040386217,0.2532706674029996,2.2972880872270776,0.6967204643495466,1.4352350162893877,1,590013.75,0.25325708087311527,0.06414258989726934,5
