customer_id,new order,subscription information,new subscription,create customer,pause subscription,cancel subscription,pause subscription (failed payment),change subscription,reactivate subscription,event,nextBox,nextBoxDeliveryTime,currentBoxPrice,currentBox,currentBoxDeliveryTime,currentBoxStatus,last_event,time_since_last_event
6,12,1,4,0,0,0,0,0,0,3,23,15,41.9,22,15,0,3,0.0
6,0,1,4,0,0,0,0,0,0,3,23,15,41.9,22,15,0,3,0.0
6,0,1,0,0,0,0,0,0,0,3,23,15,41.9,22,15,0,3,0.0
6,12,1,4,0,0,0,0,0,0,3,3,9,35.2,3,9,0,3,0.0
6,0,1,4,0,0,0,0,0,0,3,3,9,35.2,3,9,0,3,0.0
6,0,1,0,0,0,0,0,0,0,3,3,9,35.2,3,9,0,3,0.0
6,12,1,4,0,0,0,0,0,0,3,3,11,35.2,3,11,0,4,0.0
6,0,1,4,0,0,0,0,0,0,3,3,11,35.2,3,11,0,4,0.0
6,0,1,0,0,0,0,0,0,0,3,3,11,35.2,3,11,0,4,0.0
6,12,1,4,0,0,0,0,0,0,3,23,15,41.9,22,15,0,4,0.0
6,0,1,4,0,0,0,0,0,0,3,23,15,41.9,22,15,0,4,0.0
6,0,1,0,0,0,0,0,0,0,3,23,15,41.9,22,15,0,4,0.0
8,39,0,0,0,2,0,0,0,0,4,16,9,12.5,15,9,1,3,3.0
8,0,0,0,0,2,0,0,0,0,4,16,9,12.5,15,9,1,3,3.0
8,39,0,0,0,2,0,0,0,0,4,17,9,44.4,16,9,1,5,0.0
8,0,0,0,0,2,0,0,0,0,4,17,9,44.4,16,9,1,5,0.0
12,39,3,0,0,2,0,0,0,0,4,16,11,12.5,15,11,1,3,5.0
12,39,3,0,0,2,0,0,0,0,4,32,11,41.0,31,11,0,5,0.0
28,1,0,0,0,0,1,0,0,0,0,32,9,41.0,31,9,2,3,5.0
31,10,2,1,0,0,0,0,0,0,3,32,11,41.0,31,11,0,3,0.0
33,1,0,0,0,0,1,0,0,0,0,17,11,44.4,16,11,2,3,3.0
35,9,2,0,0,1,0,0,0,0,4,33,11,59.65,32,11,1,3,5.0
38,39,4,0,0,4,0,0,0,4,6,16,11,12.5,15,11,1,3,2.0
38,39,4,0,0,4,0,0,0,4,6,17,11,44.4,16,11,0,7,0.0
38,39,4,0,0,4,0,0,0,4,6,16,11,12.5,15,11,0,7,0.0
38,39,4,0,0,4,0,0,0,4,6,17,11,44.4,16,11,0,7,0.0
38,39,4,0,0,4,0,0,0,4,4,16,11,12.5,15,11,0,3,3.0
38,39,4,0,0,4,0,0,0,4,4,17,11,44.4,16,11,1,5,0.0
38,39,4,0,0,4,0,0,0,4,4,16,11,12.5,15,11,1,5,0.0
38,39,4,0,0,4,0,0,0,4,4,17,11,44.4,16,11,1,5,0.0
41,3,0,0,0,0,1,0,0,0,0,17,11,44.4,16,11,2,3,5.0
45,9,2,0,0,1,0,0,0,0,4,35,11,25.9,34,11,1,3,2.0
47,0,0,0,0,0,1,0,0,0,0,32,11,41.0,31,11,2,3,0.0
49,10,2,1,0,0,0,0,0,0,3,17,17,44.4,16,17,0,3,0.0
59,10,0,1,0,0,0,0,0,0,3,32,9,41.0,31,9,0,3,0.0
69,9,2,0,0,1,0,0,0,0,4,31,11,26.75,30,11,1,3,2.0
86,0,0,0,0,0,1,0,0,0,0,32,9,41.0,31,9,2,3,3.0
91,10,1,1,0,0,0,0,0,0,3,32,11,41.0,31,11,0,3,0.0
95,35,2,2,0,1,0,0,0,0,4,18,16,56.65,17,16,1,3,6.0
95,35,2,2,0,1,0,0,0,0,3,18,16,59.5,17,16,1,3,0.0
95,35,2,2,0,1,0,0,0,0,3,21,10,59.5,20,10,0,4,0.0
96,10,1,1,0,0,0,0,0,0,3,32,11,41.0,31,11,0,3,0.0
119,11,2,2,0,0,0,0,0,0,3,32,11,41.0,31,11,1,3,0.0
119,0,2,2,0,0,0,0,0,0,3,32,11,41.0,31,11,1,3,0.0
119,0,2,0,0,0,0,0,0,0,3,32,11,41.0,31,11,1,3,0.0
119,11,2,2,0,0,0,0,0,0,3,32,11,41.0,31,11,1,3,0.0
119,0,2,2,0,0,0,0,0,0,3,32,11,41.0,31,11,1,3,0.0
119,0,2,0,0,0,0,0,0,0,3,32,11,41.0,31,11,1,3,0.0
120,10,1,1,0,0,0,0,0,0,3,35,9,25.9,34,9,0,3,0.0
121,36,4,0,0,2,0,0,0,2,4,16,17,12.5,15,17,1,3,5.0
121,36,4,0,0,2,0,0,0,2,4,32,17,41.0,31,17,0,5,0.0
121,36,4,0,0,2,0,0,0,2,6,16,17,12.5,15,17,0,3,1.0
121,36,4,0,0,2,0,0,0,2,6,32,17,41.0,31,17,0,7,0.0
125,39,4,0,0,2,0,0,0,0,4,16,12,12.5,15,12,1,3,3.0
125,39,4,0,0,2,0,0,0,0,4,32,12,41.0,31,12,1,5,0.0
132,0,0,0,0,0,1,0,0,0,0,17,9,41.0,31,9,2,3,1.0
139,12,2,0,0,0,1,0,0,0,0,35,11,25.9,34,11,2,0,0.0
147,10,2,1,0,0,0,0,0,0,3,34,11,75.9,33,11,0,3,0.0
147,0,2,1,0,0,0,0,0,0,3,34,11,75.9,33,11,0,3,0.0
153,10,2,1,0,0,0,0,0,0,3,32,11,41.0,31,11,0,3,0.0
156,39,3,0,0,2,0,0,0,0,4,16,12,12.5,15,12,1,3,3.0
156,39,3,0,0,2,0,0,0,0,4,33,12,59.65,32,12,0,5,0.0
163,10,2,1,0,0,0,0,0,0,3,35,9,25.9,34,9,0,3,0.0
171,13,0,4,0,0,0,0,0,0,3,32,16,41.0,31,16,0,3,0.0
171,13,0,4,0,0,0,0,0,0,3,32,16,41.0,31,16,0,3,0.0
171,13,0,4,0,0,0,0,0,0,3,32,16,41.0,31,16,0,3,0.0
171,13,0,4,0,0,0,0,0,0,3,32,16,42.9,31,16,1,3,0.0
173,1,2,0,0,1,0,0,0,0,4,40,10,29.7,39,9,1,7,0.0
175,35,0,0,0,0,4,0,0,0,0,16,9,12.5,15,9,0,3,0.0
175,35,0,0,0,0,4,0,0,0,0,32,9,41.0,31,9,2,0,0.0
175,35,0,0,0,0,4,0,0,0,0,16,9,12.5,15,9,2,0,0.0
175,35,0,0,0,0,4,0,0,0,0,32,9,41.0,31,9,2,0,0.0
181,25,2,4,0,0,0,0,0,0,3,16,9,12.5,15,9,0,3,0.0
181,25,2,4,0,0,0,0,0,0,3,16,9,12.5,15,9,0,3,0.0
181,25,2,4,0,0,0,0,0,0,3,16,11,12.5,15,10,0,3,0.0
181,25,2,4,0,0,0,0,0,0,3,37,11,25.3,36,10,0,4,0.0
185,0,0,0,0,0,1,0,0,0,0,31,11,26.75,30,11,2,3,3.0
189,9,0,0,0,1,0,0,0,0,4,32,19,41.0,31,19,1,3,2.0
189,0,0,0,0,1,0,0,0,0,4,32,19,41.0,31,19,1,3,2.0
195,10,2,1,0,0,0,0,0,0,3,19,9,67.9,18,9,0,3,0.0
199,10,1,1,0,0,0,0,0,0,3,35,11,25.9,34,11,0,3,0.0
205,10,0,1,0,0,0,0,0,0,3,32,19,41.0,31,19,0,3,0.0
207,10,0,1,0,0,0,0,0,0,3,18,12,59.5,17,12,0,3,0.0
218,43,2,4,0,4,0,0,0,2,3,16,9,12.5,15,9,0,3,0.0
218,43,2,4,0,4,0,0,0,2,3,18,9,56.65,17,9,0,4,0.0
218,43,2,4,0,4,0,0,0,2,4,16,9,12.5,15,9,0,4,1.0
218,43,2,4,0,4,0,0,0,2,4,17,9,44.4,16,9,1,5,0.0
218,43,2,4,0,4,0,0,0,2,4,16,9,12.5,15,9,1,5,0.0
218,43,2,4,0,4,0,0,0,2,4,17,9,44.4,16,9,1,5,0.0
218,43,2,4,0,4,0,0,0,2,6,16,9,12.5,15,9,1,3,6.0
218,43,2,4,0,4,0,0,0,2,6,17,9,44.4,16,9,0,7,0.0
218,43,2,4,0,4,0,0,0,2,3,16,9,12.5,15,9,1,3,0.0
218,43,2,4,0,4,0,0,0,2,3,17,9,44.4,16,9,0,4,0.0
229,10,2,1,0,0,0,0,0,0,3,31,11,26.75,30,11,0,3,0.0
232,43,2,2,0,0,0,0,0,0,3,16,14,12.5,15,14,0,3,0.0
232,43,2,2,0,0,0,0,0,0,3,31,14,26.75,30,14,0,4,0.0
234,10,2,1,0,0,0,0,0,0,3,33,19,59.65,32,19,0,3,0.0
240,23,4,2,0,2,0,0,0,1,4,18,16,56.65,17,16,0,3,3.0
240,23,4,2,0,2,0,0,0,1,3,18,16,56.65,17,16,0,3,0.0
240,23,4,2,0,2,0,0,0,1,6,18,16,56.65,17,16,0,4,1.0
240,23,4,2,0,2,0,0,0,1,4,18,16,56.65,17,16,1,7,0.0
240,23,4,2,0,2,0,0,0,1,3,18,16,56.65,17,16,1,3,0.0
250,45,4,6,0,0,0,0,0,0,3,16,12,12.5,15,12,0,3,0.0
250,0,4,6,0,0,0,0,0,0,3,16,12,12.5,15,12,0,3,0.0
250,45,4,6,0,0,0,0,0,0,3,32,12,41.0,31,12,0,4,0.0
250,0,4,6,0,0,0,0,0,0,3,32,12,41.0,31,12,0,4,0.0
250,45,4,6,0,0,0,0,0,0,3,16,12,12.5,15,12,0,3,0.0
250,0,4,6,0,0,0,0,0,0,3,16,12,12.5,15,12,0,3,0.0
250,45,4,6,0,0,0,0,0,0,3,32,12,41.0,31,12,0,4,0.0
250,0,4,6,0,0,0,0,0,0,3,32,12,41.0,31,12,0,4,0.0
250,45,4,6,0,0,0,0,0,0,3,16,12,12.5,15,12,0,3,0.0
250,0,4,6,0,0,0,0,0,0,3,16,12,12.5,15,12,0,3,0.0
250,45,4,6,0,0,0,0,0,0,3,32,12,41.0,31,12,0,4,0.0
250,0,4,6,0,0,0,0,0,0,3,32,12,41.0,31,12,0,4,0.0
259,23,1,1,0,1,0,0,0,0,4,19,14,67.9,18,14,1,3,1.0
259,23,1,1,0,1,0,0,0,0,3,19,14,71.7,18,14,1,3,0.0
268,3,0,0,0,0,1,0,0,0,0,32,14,41.0,31,14,2,3,3.0
279,10,0,1,0,0,0,0,0,0,3,32,12,27.2,34,12,0,3,0.0
281,10,2,1,0,0,0,0,0,0,3,32,15,41.0,31,15,0,3,0.0
285,10,0,0,0,1,1,0,0,0,0,16,9,12.5,15,9,0,3,3.0
285,10,0,0,0,1,1,0,0,0,4,16,9,12.5,15,9,1,0,1.0
297,11,1,2,0,0,0,0,0,0,3,33,15,59.65,32,15,0,3,0.0
297,11,1,2,0,0,0,0,0,0,3,33,15,59.65,32,15,0,3,0.0
303,35,0,0,0,0,4,0,0,0,0,16,12,12.5,15,12,0,3,1.0
303,35,0,0,0,0,4,0,0,0,0,33,12,59.65,32,12,2,0,0.0
303,35,0,0,0,0,4,0,0,0,0,16,12,12.5,15,12,2,0,0.0
303,35,0,0,0,0,4,0,0,0,0,33,12,59.65,32,12,2,0,0.0
306,9,2,0,0,1,0,0,0,0,4,32,16,41.0,31,16,1,3,3.0
308,10,1,1,0,0,0,0,0,0,3,33,16,62.5,32,16,0,3,0.0
310,36,0,2,0,2,0,0,0,0,3,32,16,42.9,31,16,0,3,0.0
310,36,0,2,0,2,0,0,0,0,3,21,16,59.5,20,16,0,3,0.0
310,36,0,2,0,2,0,0,0,0,4,32,16,42.9,31,16,0,3,0.0
310,36,0,2,0,2,0,0,0,0,4,21,16,59.5,20,16,0,5,0.0
316,10,2,1,0,0,0,0,0,0,3,32,17,41.0,31,17,0,3,0.0
326,10,2,1,0,0,0,0,0,0,3,35,12,25.9,34,12,0,3,0.0
329,39,4,0,0,0,0,0,0,4,6,16,17,12.5,15,17,1,3,3.0
329,39,4,0,0,0,0,0,0,4,6,32,17,41.0,31,17,0,7,0.0
329,39,4,0,0,0,0,0,0,4,6,16,17,12.5,15,17,0,7,0.0
329,39,4,0,0,0,0,0,0,4,6,32,17,41.0,31,17,0,7,0.0
331,22,0,1,0,0,0,0,0,0,3,16,19,12.5,15,19,0,3,0.0
338,22,4,1,0,2,0,0,0,0,3,31,11,26.75,30,11,1,3,0.0
338,22,4,1,0,2,0,0,0,0,4,37,10,25.3,36,10,1,8,6.0
338,22,4,1,0,2,0,0,0,0,4,31,11,27.7,30,11,1,5,0.0
